,,2247,,,3242,,,2215,,,3274,,,1140,,,622,,,505,,,2202,,,65955.5,,,96122,,,2,,,1
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,137947,0,,101141,1,,1,1,,0,0,
F,1,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,91945,0,,92771,1,,4,1,,1,0,
F,1,,M,0,,M,1,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,86688,0,,103199,1,,1,1,,1,0,
F,1,,M,1,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,106399,0,,84756,1,,1,1,,1,0,
F,0,,M,1,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,81294,0,,109759,1,,2,1,,1,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,115859,0,,88005,1,,3,1,,3,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,105157,0,,94029,1,,4,1,,3,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,40011,0,,99245,1,,2,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,46808,0,,49455,1,,2,1,,1,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,43857,0,,129497,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,50046,0,,48422,1,,2,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,91276,0,,110712,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,24334,0,,73388,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,61905,0,,96049,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,49349,0,,49084,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,44068,0,,181590,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,18843,0,,149717,1,,3,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,15861,0,,163913,1,,3,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,35822,0,,91729,1,,1,1,,2,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,29017,0,,88887,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,1,,Professional,0,,11721,0,,106971,1,,1,1,,2,0,
